example_id,benchmark,method,document_precision,document_recall,document_f1,precision,recall,f1,retrieved_chars,overlap_chars,retrieved_document_count,matched_document_count,retrieved_span_count,wall_clock_seconds,estimated_cost_usd,input_tokens,output_tokens,error
cuad:261,cuad,vector,1.0,1.0,1.0,0.15455493741307372,0.6624441132637854,0.250634338877925,5752,889,1,1,5,54.675196291995235,0.0,0,0,
cuad:261,cuad,pageindex,0.0,0.0,0.0,0.0,0.0,0.0,8820,0,1,0,5,56.25739754200913,0.042458,39578,576,
cuad:3878,cuad,vector,1.0,1.0,1.0,0.20273881095524382,0.7924281984334204,0.3228723404255319,5988,1214,1,1,5,48.41788670804817,0.0,0,0,
cuad:3878,cuad,pageindex,1.0,1.0,1.0,0.09181900326683812,0.8622715404699739,0.1659651988190213,14387,1321,1,1,4,7.47945945803076,0.041382,38642,548,
cuad:3206,cuad,vector,1.0,1.0,1.0,0.08910707669507224,1.0,0.1636332709644497,5398,481,1,1,5,38.540935083059594,0.0,0,0,
cuad:3206,cuad,pageindex,0.0,0.0,0.0,0.0,0.0,0.0,14701,0,2,0,5,17.948054958018474,0.048323,41473,1370,
cuad:371,cuad,vector,1.0,1.0,1.0,0.0977711181869264,0.6112412177985949,0.1685774261262716,5339,522,1,1,5,33.11696054099593,0.0,0,0,
cuad:371,cuad,pageindex,1.0,1.0,1.0,0.05799266603286704,1.0,0.10962772785622593,14726,854,1,1,5,9.886896625044756,0.044185,40415,754,pageindex_document_selection_invalid
cuad:55,cuad,vector,1.0,1.0,1.0,0.0564755838641189,1.0,0.10691318327974277,4710,266,1,1,5,38.14918370801024,0.0,0,0,
cuad:55,cuad,pageindex,0.5,1.0,0.6666666666666666,0.03332080671426782,1.0,0.06449266577767002,7983,266,2,1,5,7.7809902500594035,0.042564000000000005,39619,589,pageindex_document_selection_invalid
