example_id,benchmark,method,document_precision,document_recall,document_f1,precision,recall,f1,retrieved_chars,overlap_chars,retrieved_document_count,matched_document_count,retrieved_span_count,wall_clock_seconds,estimated_cost_usd,input_tokens,output_tokens,error
cuad:261,cuad,vector,1.0,1.0,1.0,0.15455493741307372,0.6624441132637854,0.250634338877925,5752,889,1,1,5,3.0227538750041276,0.0,0,0,
cuad:261,cuad,pageindex,0.0,0.0,0.0,0.0,0.0,0.0,8813,0,2,0,5,16.464926333050244,0.051021,45126,1179,
cuad:3878,cuad,vector,1.0,1.0,1.0,0.20273881095524382,0.7924281984334204,0.3228723404255319,5988,1214,1,1,5,4.315742583014071,0.0,0,0,
cuad:3878,cuad,pageindex,1.0,1.0,1.0,0.09181900326683812,0.8622715404699739,0.1659651988190213,14387,1321,1,1,4,6.47113033302594,0.041302,38642,532,
cuad:3206,cuad,vector,1.0,1.0,1.0,0.08910707669507224,1.0,0.1636332709644497,5398,481,1,1,5,2.845431166002527,0.0,0,0,
cuad:3206,cuad,pageindex,0.0,0.0,0.0,0.0,0.0,0.0,14701,0,2,0,5,18.819087042007595,0.046425999999999995,39716,1342,
cuad:371,cuad,vector,1.0,1.0,1.0,0.0977711181869264,0.6112412177985949,0.1685774261262716,5339,522,1,1,5,2.820529666962102,0.0,0,0,
cuad:371,cuad,pageindex,1.0,1.0,1.0,0.05799266603286704,1.0,0.10962772785622593,14726,854,1,1,5,11.394048667047173,0.044024999999999995,40415,722,pageindex_document_selection_invalid
cuad:55,cuad,vector,1.0,1.0,1.0,0.0564755838641189,1.0,0.10691318327974277,4710,266,1,1,5,3.37731995806098,0.0,0,0,
cuad:55,cuad,pageindex,0.5,1.0,0.6666666666666666,0.05300916699880431,1.0,0.10068130204390614,5018,266,2,1,5,7.875523333088495,0.042779,39619,632,pageindex_document_selection_invalid
cuad:3513,cuad,vector,0.5,1.0,0.6666666666666666,0.09789548356585481,1.0,0.17833297437001938,4229,414,2,1,5,2.3474122500047088,0.0,0,0,
cuad:3513,cuad,pageindex,1.0,1.0,1.0,0.0,0.0,0.0,11533,0,1,1,5,6.974984499975108,0.040122,36912,642,
cuad:2701,cuad,vector,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,4923,0,3,1,5,4.041587249957956,0.0,0,0,
cuad:2701,cuad,pageindex,1.0,1.0,1.0,0.07164179104477612,1.0,0.13370473537604458,3685,264,1,1,2,6.162227709079161,0.039466,37506,392,
cuad:1629,cuad,vector,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,5978,0,2,1,5,4.147838542005047,0.0,0,0,
cuad:1629,cuad,pageindex,1.0,1.0,1.0,0.21821164889253486,1.0,0.3582491582491582,1219,266,1,1,3,5.20112387498375,0.037358,35528,366,
cuad:4019,cuad,vector,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,3879,0,2,1,5,3.6777317919768393,0.0,0,0,
cuad:4019,cuad,pageindex,0.5,1.0,0.6666666666666666,0.07622445669802141,1.0,0.1416515973477999,9249,705,2,1,4,9.08530629100278,0.043007,39517,698,
cuad:3993,cuad,vector,1.0,1.0,1.0,0.05362266857962697,1.0,0.10178723404255317,5576,299,1,1,5,4.54256637499202,0.0,0,0,
cuad:3993,cuad,pageindex,1.0,1.0,1.0,0.024220332118266505,1.0,0.04729515975956975,12345,299,1,1,5,7.824957208009437,0.040243,37353,578,
